case_id,symptom,topology_note,show_outputs,expected_fault,osi_layer,concept_tag,severity
C001,PC in VLAN 10 cannot ping PC in VLAN 20 even though both can ping their default gateways,Router-on-a-stick setup SW1 connected to R1 via trunk PCs on Fa0/1 VLAN10 and Fa0/2 VLAN20,show interfaces trunk: Fa0/24 not trunking (access mode); show vlan brief: VLAN10 and VLAN20 active,Trunk port misconfigured as access port - inter-VLAN traffic cannot pass,Layer2,VLAN,High
C002,PC1 gets IP 169.254.x.x and cannot communicate with any host,Single router R1 with DHCP pool configured SW1 connects PC1 on Fa0/1,show ip dhcp pool: Pool LAN 192.168.1.0/24 defined; show ip dhcp binding: No bindings; show interfaces Fa0/0: line protocol is down,Router interface Fa0/0 is shutdown - DHCP server unreachable,Layer1,DHCP,High
C003,PC can ping gateway but cannot reach www.cisco.com or any external site,R1 connected to ISP via Se0/0/0 PAT configured for inside LAN,show ip nat translations: Empty; show access-lists: ACL 1 deny any (hits: 45),NAT ACL denying LAN traffic - no translation entries created,Layer3,NAT,High
C004,Wireless clients associate to AP but get 169.254.x.x addresses,WLC manages AP DHCP server on core switch VLAN 1 AP on VLAN 10,show running-config: No ip helper-address on VLAN 10 SVI; show ip dhcp pool: Server has pool for VLAN10,Missing ip helper-address on VLAN 10 SVI - DHCP not relayed to server,Layer3,DHCP,High
C005,PC1 can ping 8.8.8.8 but cannot resolve google.com,R1 acts as DNS server PC configured with DNS 192.168.1.2,show running-config: ip dns server enabled; no ip domain-lookup,DNS lookup disabled with no ip domain-lookup on router,Layer7,DNS,Medium
C006,PC in VLAN 30 can reach VLAN 30 hosts but not VLAN 40,R1 has sub-interfaces for VLAN 30 and 40 ACL applied on Gi0/0.40,show access-lists: ACL 101 - deny ip 192.168.30.0 0.0.0.255 192.168.40.0 0.0.0.255 (hits: 120),ACL 101 blocking traffic from VLAN 30 to VLAN 40,Layer4,ACL,High
C007,New PC gets correct IP but cannot ping default gateway,PC in VLAN 20 gateway should be 192.168.20.1 SVI configured on multilayer switch,show interfaces vlan 20: Vlan20 is down line protocol is down; show vlan brief: VLAN 20 active,VLAN 20 SVI is down - no active ports in VLAN 20 assigned,Layer2,VLAN,High
C008,All PCs lose connectivity after switch reboot,Rapid PVST+ running Root bridge was SW1 SW3 connected to SW1 and SW2,show spanning-tree vlan 1: SW3 is now root bridge with lower priority,SW3 won root bridge election after reboot - unexpected topology change,Layer2,SpanningTree,High
C009,PC cannot SSH to router Telnet works fine,R1 with SSH and Telnet enabled PC IP 192.168.1.10,show ip ssh: SSH disabled; show running-config: no crypto key generate rsa found,RSA keys not generated - SSH not operational,Layer7,Security,Medium
C010,Two PCs on same switch get duplicate IP conflict messages,Static IPs configured manually DHCP also running,show ip dhcp binding: 192.168.1.50 assigned to MAC aabb.cc00.1234; show arp: 192.168.1.50 appears twice,Duplicate IP - DHCP assigned address already statically configured,Layer3,DHCP,Medium
C011,PC1 can ping 192.168.2.1 but not 192.168.2.10,R1 and R2 connected via Se0/0/0 static routes configured,show ip route on R2: No route for 192.168.1.0/24; show ip route on R1: 192.168.2.0/24 via 10.0.0.2,Missing return route on R2 - asymmetric routing,Layer3,Routing,High
